gid,kdppum,namobj,remark,kdpbps,fcode,luaswh,uupp,srs_id,lcode,metadata,kdebps,kdepum,kdcbps,kdcpum,kdbbps,kdbpum,wadmkd,wiadkd,wadmkc,wiadkc,wadmkk,wiadkk,wadmpr,wiadpr,tipadm,shape_leng,shape_area,xcoord,ycoord
"101",,Caringin,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Caringin,,Bogor,,Jawa Barat,,"0",0.0647022858004,0.000167328220763,106.865816385405,-6.73644760730718
"8",,Babakan,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Ciseeng,,Bogor,,Jawa Barat,,"0",0.130520064167,0.000377298551488,106.678608723819,-6.45540009566229
"5",,Argapura,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cigudeg,,Bogor,,Jawa Barat,,"0",0.185727163521,0.00168982342118,106.546888698131,-6.49323498786752
"49",,Batulayang,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cisarua,,Bogor,,Jawa Barat,,"0",0.0465484617402,8.28320323582e-05,106.955283830524,-6.69910121515143
"61",,Benteng,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Ciampea,,Bogor,,Jawa Barat,,"0",0.0903642629106,0.000243429468903,106.69845241306,-6.57395298821429
"110",,Cemplang,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cibungbulang,,Bogor,,Jawa Barat,,"0",0.0786927811374,0.000192677797247,106.661417054061,-6.57616403218792
"70",,Bojongbaru,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Bojonggede,,Bogor,,Jawa Barat,,"0",0.0772843398943,0.000236260741885,106.79296334197,-6.47635782992246
"84",,Bojongnangka,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Gunungputri,,Bogor,,Jawa Barat,,"0",0.180252463546,0.000686382828916,106.931351837159,-6.40501583072955
"74",,Bojonggidah,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Parung,,Bogor,,Jawa Barat,,"0",0.0570358620825,0.000108587966718,106.712677639116,-6.4351329908106
"670",,Pasireurih,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Tamansari,,Bogor,,Jawa Barat,,"0",0.0744047538215,0.000203598346621,106.745606685711,-6.65669468005277
"9",,Babakan,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Dramaga,,Bogor,,Jawa Barat,,"0",0.0904270794565,0.000272373018597,106.729687597886,-6.5883839789849
"133",,Cibadung,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Gunungsindur,,Bogor,,Jawa Barat,,"0",0.111406356658,0.000345078440313,106.68700973881,-6.38730439631991
"134",,Cibalung,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cijeruk,,Bogor,,Jawa Barat,,"0",0.0934110561625,0.000344367732804,106.784117471001,-6.68656180220314
